ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.026685,0.044242,0.741379,0.752155,0,0,0,0,0,0.02809,0.026685,0.039326,0.044242,0.75,0.741379,0.743534,0.752155
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.136938,0.157303,0.859914,0.891164,0,0,0,0,0,0.136938,0.150983,0.157303,0.157303,0.869612,0.859914,0.891164,0.891164
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.255618,0.302669,0.664871,0.707974,0,0,0,0,0,0.255618,0.290028,0.302669,0.273174,0.704741,0.664871,0.669181,0.707974
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.566011,0.585674,0.822198,0.836207,0,0,0,0,0,0.566011,0.585674,0.585674,0.582865,0.830819,0.822198,0.832974,0.836207
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.604635,0.648876,0.372845,0.412716,0,0,0,0,0,0.622893,0.604635,0.630618,0.648876,0.372845,0.404095,0.412716,0.41056
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.652388,0.681882,0.990302,0.998922,0,0,0,0,0,0.652388,0.661517,0.681882,0.681882,0.992457,0.990302,0.998922,0.998922
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.655197,0.692416,0.700431,0.741379,0,0,0,0,0,0.655197,0.676966,0.692416,0.666433,0.719828,0.700431,0.712284,0.741379
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.665028,0.688202,0.802802,0.836207,0,0,0,0,0,0.665028,0.671348,0.684691,0.688202,0.809267,0.802802,0.828664,0.836207
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.666433,0.691011,0.940733,0.960129,0,0,0,0,0,0.666433,0.674157,0.691011,0.689607,0.949353,0.940733,0.956897,0.960129
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.705056,0.735955,0.852371,0.897629,0,0,0,0,0,0.705056,0.712781,0.709972,0.735955,0.869612,0.852371,0.897629,0.887931
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.70927,0.752809,0.752155,0.807112,0,0,0,0,0,0.70927,0.734551,0.752809,0.752809,0.757543,0.752155,0.802802,0.807112
0004e0650dd10f47,xclick,/m/0ch_cf,1,0.748595,0.765449,0.844828,0.876078,0,0,0,0,0,0.748595,0.751404,0.76264,0.765449,0.852371,0.844828,0.862069,0.876078
