ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
00036603fa39fa85,xclick,/m/07r04,1,0.058125,0.983125,0.053333,0.94,0,0,0,0,0,0.058125,0.59875,0.983125,0.71,0.55,0.053333,0.337778,0.94
0004d5a9dd44ab6a,xclick,/m/07r04,1,0.035625,0.188125,0.189893,0.320827,0,0,0,0,0,0.115,0.035625,0.139375,0.188125,0.189893,0.245023,0.320827,0.2366
0004d5a9dd44ab6a,xclick,/m/07r04,1,0.094375,0.8975,0.147014,0.93415,0,0,0,0,0,0.365,0.094375,0.33375,0.8975,0.147014,0.609495,0.93415,0.822358
0005f203463a13a8,xclick,/m/07r04,1,0.0,0.7,0.187778,0.998889,0,0,0,0,0,0.6,0.7,0.0,0.39375,0.187778,0.535556,0.746667,0.998889
00072b81abc72d21,xclick,/m/07r04,1,0.1625,0.9275,0.26779,0.932584,0,0,0,0,0,0.2825,0.46,0.1625,0.9275,0.26779,0.932584,0.719101,0.689139
0011d11a6a5ab5ad,xclick,/m/07r04,1,0.331875,0.918125,0.13579,0.953443,0,0,0,0,0,0.841875,0.918125,0.701875,0.331875,0.13579,0.184287,0.953443,0.436469
00120856d5e5a192,xclick,/m/07r04,1,0.264375,0.720625,0.290833,0.421667,0,0,0,0,0,0.658125,0.264375,0.66625,0.720625,0.290833,0.421667,0.42,0.375
00120856d5e5a192,xclick,/m/07r04,1,0.86375,0.93625,0.36,0.484167,0,0,0,0,0,0.9075,0.86375,0.90875,0.93625,0.36,0.416667,0.484167,0.411667
00120856d5e5a192,xclick,/m/07r04,1,0.89375,0.999375,0.340833,0.476667,0,0,0,0,0,0.961875,0.89375,0.999375,0.999375,0.340833,0.423333,0.476667,0.423333
001ae662d690368e,xclick,/m/07r04,1,0.121824,0.896417,0.41059,0.776042,0,0,0,0,0,0.560261,0.896417,0.121824,0.265147,0.41059,0.601562,0.639757,0.776042
0025e76bf1c441bf,xclick,/m/07r04,1,0.12625,0.2,0.400833,0.465,0,0,0,0,0,0.15875,0.12625,0.1675,0.2,0.400833,0.430833,0.465,0.456667
0028ce95bf98cb9a,xclick,/m/07r04,1,0.104375,0.88375,0.358646,0.861848,0,0,0,0,0,0.575,0.88375,0.45875,0.104375,0.358646,0.568161,0.861848,0.611162
0028ce95bf98cb9a,xclick,/m/07r04,1,0.710625,0.965625,0.083257,0.231473,0,0,0,0,0,0.710625,0.860625,0.965625,0.800625,0.16011,0.083257,0.165599,0.231473
002b11030ee89858,xclick,/m/07r04,1,0.338125,0.721875,0.271107,0.831144,0,0,0,0,0,0.525,0.721875,0.631875,0.338125,0.271107,0.50469,0.831144,0.703565
003551f1525e49af,xclick,/m/07r04,1,0.303125,0.929375,0.374167,0.911667,0,0,0,0,0,0.61,0.929375,0.303125,0.47625,0.374167,0.743333,0.776667,0.911667
0036a36486be5fa0,xclick,/m/07r04,1,0.076875,0.9,0.268333,0.6775,0,0,0,0,0,0.440625,0.9,0.076875,0.690625,0.268333,0.568333,0.579167,0.6775
003701c6de4ab948,xclick,/m/07r04,1,0.255625,0.685625,0.310833,0.763333,0,0,0,0,0,0.490625,0.255625,0.654375,0.685625,0.310833,0.5175,0.763333,0.639167
003a166309fb75cc,xclick,/m/07r04,1,0.301297,0.735317,0.265046,0.802083,0,0,0,0,0,0.455378,0.301297,0.421815,0.735317,0.265046,0.53588,0.802083,0.342593
0045bda5f47536ae,xclick,/m/07r04,1,0.103125,0.855625,0.003333,0.945,0,0,0,0,0,0.178125,0.103125,0.855625,0.61125,0.003333,0.2425,0.735,0.945
